,id,word,happiness,anger,sadness,fear,disgust
0,1,abai,1.85,1.4,1.31,1.26,1.47
1,2,adem,4.32,1.12,1.14,1.1,1.04
2,3,ajaib,4.07,1.19,1.31,1.25,1.22
3,4,aman,4.11,1.24,1.33,1.47,1.08
4,5,apatis,1.85,1.4,1.31,1.26,1.47
5,6,asusila,1.28,2.3,1.94,1.94,3.7
6,7,ayem,4.32,1.12,1.14,1.1,1.04
7,8,bahagia,4.08,1.34,1.31,1.8,1.52
8,9,baik,4.08,1.34,1.31,1.8,1.52
9,10,bandel,1.28,2.3,1.94,1.94,3.7
10,11,bangga,3.18,1.55,1.29,1.58,1.26
11,12,bebas,4.32,1.12,1.14,1.1,1.04
12,13,bejat,1.28,2.3,1.94,1.94,3.7
13,14,beken,3.32,1.3,1.21,1.2,1.38
14,15,berat,1.65,2.22,1.75,2.21,1.4
15,16,berisik,1.39,2.97,1.39,1.41,1.45
16,17,berkenan,3.18,1.55,1.29,1.58,1.26
17,18,bermartabat,3.32,1.3,1.21,1.2,1.38
18,19,bernoda,1.28,2.3,1.94,1.94,3.7
19,20,bersedia,3.18,1.55,1.29,1.58,1.26
20,21,berseri,4.38,1.07,1.14,1.08,1.08
21,22,biadab,1.41,3.14,2.68,2.27,2.94
22,23,bimbang,1.14,2.41,3.02,4.09,1.83
23,24,bingung,1.14,2.41,3.02,4.09,1.83
24,25,bising,1.39,2.97,1.39,1.41,1.45
25,26,brutal,1.28,2.3,1.94,1.94,3.7
26,27,buruk,1.28,2.3,1.94,1.94,3.7
27,28,cabul,1.28,2.3,1.94,1.94,3.7
28,29,capek,1.05,3.5,3.91,3.47,2.0
29,30,cemas,1.14,2.41,3.02,4.09,1.83
30,31,cemong,1.28,2.3,1.94,1.94,3.7
31,32,ceria,4.38,1.07,1.14,1.08,1.08
32,33,ciut,1.14,2.41,3.02,4.09,1.83
33,34,cuek,1.85,1.4,1.31,1.26,1.47
34,35,curiga,1.14,2.41,3.02,4.09,1.83
35,36,dekil,1.28,2.3,1.94,1.94,3.7
36,37,dibantah,1.05,3.5,3.91,3.47,2.0
37,38,dibuang,1.05,3.5,3.91,3.47,2.0
38,39,didesak,1.05,3.5,3.91,3.47,2.0
39,40,didorong,1.05,3.5,3.91,3.47,2.0
40,41,dilempar,1.05,3.5,3.91,3.47,2.0
41,42,dingin,1.85,1.4,1.31,1.26,1.47
42,43,disangkal,1.05,3.5,3.91,3.47,2.0
43,44,ditolak,1.05,3.5,3.91,3.47,2.0
44,45,enteng,3.92,1.11,1.15,1.19,1.09
45,46,fantastis,4.07,1.19,1.31,1.25,1.22
46,47,fenomenal,4.07,1.19,1.31,1.25,1.22
47,48,gaduh,1.39,2.97,1.39,1.41,1.45
48,49,gampang,3.92,1.11,1.15,1.19,1.09
49,50,gawat,1.65,2.22,1.75,2.21,1.4
50,51,gelisah,1.14,2.41,3.02,4.09,1.83
51,52,gembira,4.08,1.34,1.31,1.8,1.52
52,53,gemetar,1.14,2.41,3.02,4.09,1.83
53,54,gempar,1.39,2.97,1.39,1.41,1.45
54,55,giat,1.45,1.92,1.84,1.97,1.29
55,56,gigih,1.45,1.92,1.84,1.97,1.29
56,57,heboh,1.39,2.97,1.39,1.41,1.45
57,58,hening,4.32,1.12,1.14,1.1,1.04
58,59,ikhlas,3.17,1.37,1.49,1.66,1.27
59,60,informal,4.32,1.12,1.14,1.1,1.04
60,61,jahat,1.28,2.3,1.94,1.94,3.7
61,62,jaya,3.32,1.3,1.21,1.2,1.38
62,63,jijik,1.28,2.3,1.94,1.94,3.7
63,64,jorok,1.28,2.3,1.94,1.94,3.7
64,65,jujur,3.17,1.37,1.49,1.66,1.27
65,66,kalem,4.32,1.12,1.14,1.1,1.04
66,67,kasar,1.28,2.3,1.94,1.94,3.7
67,68,kasihan,1.05,3.5,3.91,3.47,2.0
68,69,keji,1.28,2.3,1.94,1.94,3.7
69,70,kematian,1.05,3.5,3.91,3.47,2.0
70,71,keras,1.65,2.22,1.75,2.21,1.4
71,72,kesedihan,1.05,3.5,3.91,3.47,2.0
72,73,khawatir,1.14,2.41,3.02,4.09,1.83
73,74,khusyuk,1.45,1.92,1.84,1.97,1.29
74,75,kikir,1.41,3.14,2.68,2.27,2.94
75,76,kondang,3.32,1.3,1.21,1.2,1.38
76,77,kotor,1.28,2.3,1.94,1.94,3.7
77,78,lancar,4.08,1.34,1.31,1.8,1.52
78,79,lelah,1.05,3.5,3.91,3.47,2.0
79,80,lelah,1.05,3.5,3.91,3.47,2.0
80,81,licik,1.28,2.3,1.94,1.94,3.7
81,82,lugu,3.17,1.37,1.49,1.66,1.27
82,83,marah,1.33,3.5,3.06,2.73,2.42
83,84,masalah,1.05,3.5,3.91,3.47,2.0
84,85,matre,1.41,3.14,2.68,2.27,2.94
85,86,melukai,1.33,3.5,3.06,2.73,2.42
86,87,memaki,1.16,3.31,2.13,2.17,1.74
87,88,memalukan,1.28,2.3,1.94,1.94,3.7
